nps_score	checkin_date	checkout_date	created_at	source	order_id	hotel_name	pod_type	nps_review
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:23:08	Android	10071685181431201	Bobobox Alun-Alun Bandung	EARTH DOUBLE	Cukup
7	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:20:49	Android	10041685199337634	Bobobox Pancoran	SKY DOUBLE	Kasur keras banget, kurang kedap suara dan ga ada pengaturan AC. Kalo itu udh diperbaiki nilai 1000/100
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:16:50	iOS	10201685015126118	Bobocabin Signature Toba	Deluxe Cabin	Sayurnya beku
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:14:51	Android	10091685179102756	Bobobox Kota Lama	EARTH SINGLE	Tolong jangan naik terus donggg harganya! Lokasi dan kenyamanannya udah enak soalnya hehe
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:11:45	Android	10171684734700538	Bobocabin Ranca Upas	EXECUTIVE CABIN	Environment
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 4:09:48	Android	10071685151157980	Bobobox Alun-Alun Bandung	SKY DOUBLE	All good
10	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 4:09:42	iOS	10331684928716574	Bobocabin Ubud	Deluxe Cabin	Very good area for weekends and vacation, calm place, with wonderful nature and breathtaking view
10	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 3:59:48	iOS	10231685125132095	Bobocabin Kintamani 	Deluxe Cabin	fasilitas kamar oke, pemandangan sekitar jg bagus, pelayanan nya jg oke. terima kasih!!!
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:55:08	Android	10331684918870741	Bobocabin Ubud	DELUXE CABIN HOT TUB	Haduh bagus sih bagus bgd tapi breajfastnya telat bgt :( sejam nunggu sad
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:54:40	iOS	10351683779027854	Bobocabin Madasari Pangandaran	Executive Cabin	The cabin provides a unique staying experience. Its close to the beach as well.
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:49:59	iOS	10111683610054970	Bobobox Tanah Abang	Sky Double	sejauh ini untuk fasilitas sangat ok, hanya ada problem di kunci kadang tidak mau terkunci, pintu harus di buka tutup berulang baru terkunci.
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:48:15	Android	10111685199920705	Bobobox Tanah Abang	EARTH DOUBLE	Very nice place to stay
6	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:47:57	iOS	10091685159498354	Bobobox Kota Lama	Sky Single	Lantai kamar mandi licin dan bau pesing
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:47:08	iOS	10271684977156473	Bobocabin Padusan	Deluxe Cabin	too expensive for food and beverages 
9	2023-05-25 0:00:00	2023-05-28 0:00:00	2023-05-28 3:41:41	Android	10221683338208350	Bobobox ITC Kuningan	SKY SINGLE	Overall nyaman, tapi bed keras. Selain itu di malam kedua, pod ga terhubung sama app jadi buat ganti lampu atau matikan lampu dari app ga bisa. Selain itu colokan listrik di kamar sering ga konek ke gadget. Tolong diperbaiki kelistrikan pod 17
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:40:06	Android	10111685216065398	Bobobox Tanah Abang	SKY DOUBLE	Nice place
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:38:43	iOS	10041685180413478	Bobobox Pancoran	Earth Double	Nice
10	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 3:38:31	iOS	10231684288599256	Bobocabin Kintamani 	Deluxe Cabin	Nais
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:36:21	iOS	10041685116950820	Bobobox Pancoran	Sky Single	nice
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:28:12	iOS	10081685191935591	Bobobox Kota Tua	Sky Double	baguss
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:19:13	Android	10071685173602426	Bobobox Alun-Alun Bandung	EARTH DOUBLE	Wah sandalnya ke bawa nih
9	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 3:17:53	iOS	10231684501937979	Bobocabin Kintamani 	Deluxe Cabin	Air di kamar mandi merembes keluar
10	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 3:14:23	iOS	10231683721111721	Bobocabin Kintamani 	Deluxe Cabin Hot Tub	View dan ambiance keren. Facilities lengkap . Worth it!!
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 3:12:51	Android	10091685197467448	Bobobox Kota Lama	SKY SINGLE	Nyaman dan suka banget nginep di bobobox. Bisa jadi pilihan buat solo traveler
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 2:59:11	Android	10331685164220527	Bobocabin Ubud	DELUXE CABIN	Great
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 2:57:10	Android	10261685095149419	Bobocabin Baturraden	DELUXE CABIN	Recomended
10	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 2:55:02	Android	10191684393166619	Bobocabin Cikole	STANDARD CABIN	Good service
8	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 2:54:31	iOS	10241684764928219	Bobocabin Puncak Gunung Mas	Deluxe Cabin	Ok
10	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 2:53:40	iOS	10231684903775511	Bobocabin Kintamani 	Deluxe Cabin	Good!!!
9	2023-05-26 23:00:00	2023-05-27 23:00:00	2023-05-28 2:44:41	iOS	10231685175044724	Bobocabin Kintamani 	Deluxe Cabin Hot Tub	Cabin is a bit worn out and tub is broken but I love the feelong of bekng in the nature. Ill come back 
9	2023-05-27 0:00:00	2023-05-28 0:00:00	2023-05-28 2:19:31	iOS	10081685189353993	Bobobox Kota Tua	Earth Double	Pods atas berisik
